network,station,latitude,longitude,elevation_m,start_date,end_date,duration_years
PN,PNNAF,38.333,-85.931,22.9,1999-01-01,2026-01-09,27.025192950903964
PN,PPHHS,37.972,-87.486,122.2,1999-01-01,2026-01-09,27.025192950903964
PN,PPMUN,40.201,-85.387001,280.0,1999-01-01,2026-01-09,27.025192950903964
PN,PURD,40.438,-86.946198,207.0,1999-01-10,2026-01-09,27.000552293819776
SS,NCAT,36.078957,-79.771179,243.0,2009-02-03,2026-01-09,16.93347494953504
LD,WUPA,39.932417,-75.605983,86.0,2014-07-01,2026-01-09,11.528957495736273
PE,WRPS,40.79418,-77.86532,320.0,2005-04-06,2016-01-11,10.76613288082744
PE,PAGS,40.2277,-76.7222,120.0,2009-02-12,2019-06-06,10.310098042943697
NM,CGM3,37.29775,-89.6582,148.0,2015-10-02,2026-01-09,10.272569177232965
LD,MVL,39.999395,-76.348888,106.0,2001-02-12,2011-03-16,10.08829568788501
LD,GEDE,39.811298,-75.635803,105.0,2016-02-01,2026-01-09,9.941004039199655
US,WCI,38.229,-86.2938,463.0,1996-11-06,2006-10-08,9.919233401779604
US,WVT,36.13,-87.83,153.0,1996-11-17,2006-10-08,9.88911704312115
TA,SFIN,40.379002,-87.096703,165.0,2008-10-09,2018-08-15,9.850397875630593
TA,KMSC,35.141998,-81.333298,240.0,2008-10-13,2018-08-15,9.839446472482065
LD,GCMD,39.5624,-79.3382,794.8,2018-06-26,2026-01-09,7.542646749671934
LD,WADE,38.67942,-75.249611,11.4,2018-06-27,2026-01-09,7.539908898884802
TA,L44A,42.1782,-87.911903,202.0,2011-10-10,2019-03-14,7.427323370598525
OH,M53A,41.439301,-80.675003,334.0,2018-09-28,2026-01-09,7.285288775681516
MU,P49A,39.534199,-84.7164,272.0,2018-09-28,2026-01-09,7.285288775681516
OH,P51A,39.4818,-83.060097,211.0,2018-09-28,2026-01-09,7.285288775681516
OH,O53A,40.249298,-81.212898,320.0,2018-09-28,2026-01-09,7.285288775681516
PE,PSUB,39.92726,-75.45126,110.0,2009-01-30,2015-12-31,6.918548907394732
US,YSNY,42.4758,-78.5375,628.0,1993-08-18,1999-10-01,6.119096509240246
LD,TRNY,41.145,-74.22443,270.0,2014-09-04,2020-09-03,5.9986310746064335
PE,PSWB,41.305473,-76.015182,398.0,2009-11-13,2015-10-06,5.897330563794458
TA,M53A,41.439301,-80.675003,334.0,2013-01-14,2018-09-27,5.702002053388091
US,GWDE,38.8256,-75.6171,19.0,1995-09-07,2001-05-11,5.675564681724846
TA,N59A,40.916801,-75.770302,508.0,2010-11-08,2016-04-19,5.4472678530686744
TA,M54A,41.5079,-79.664703,488.0,2010-11-04,2016-04-15,5.446802038177808
TA,O56A,40.268299,-78.566299,684.0,2010-11-05,2016-04-14,5.442790326260552
N4,M44A,41.3882,-88.0432,207.0,2013-11-08,2019-03-17,5.349891626739676
N4,X48A,34.4517,-87.0452,180.0,2013-12-16,2019-03-17,5.246685330950389
N4,P46A,39.6178,-87.2067,194.0,2013-12-20,2019-03-17,5.235385485588258
N4,152A,32.6686,-84.7188,214.0,2014-02-03,2019-03-17,5.11170938220904
N4,T45B,37.0159,-88.6459,136.0,2014-02-11,2019-03-17,5.092402464065708
PE,PSDB,41.12748,-78.75312,437.0,2010-12-21,2016-01-11,5.059293197201308
N4,U49A,36.5129,-85.7796,234.0,2014-02-24,2019-03-17,5.054866086140898
N4,W52A,35.0935,-83.9277,519.0,2014-03-11,2019-03-17,5.013640074023373
N4,V53A,35.6694,-82.8124,681.0,2014-03-14,2019-03-17,5.005718115446042
N4,T50A,37.0204,-84.8384,302.0,2014-04-17,2019-03-17,4.911742337820367
N4,S51A,37.6392,-83.5935,286.0,2014-04-21,2019-03-17,4.901844531903567
N4,R50A,38.2816,-84.3274,255.0,2014-04-23,2019-03-17,4.89614229218952
N4,R49A,38.2916,-85.1714,251.0,2014-04-23,2019-03-17,4.895782030319163
N4,P48A,39.4605,-85.4258,300.0,2014-05-02,2019-03-17,4.8709673739447865
N4,O49A,40.188,-84.3353,292.0,2014-05-08,2019-03-17,4.854411076887977
N4,N49A,40.922,-84.1825,225.0,2014-05-11,2019-03-17,4.847022270388115
N4,N47A,40.8801,-85.6942,252.0,2014-05-12,2019-03-17,4.843994853854539
N4,M50A,41.4035,-83.0428,176.0,2014-05-14,2019-03-17,4.838535978654904
N4,Y52A,33.864,-84.0626,286.0,2014-05-25,2019-03-17,4.808661083225594
N4,L48A,41.943802,-84.432899,369.0,2014-05-23,2019-02-21,4.751155125865084
N4,V52A,35.841702,-83.595901,328.0,2014-03-08,2018-08-20,4.451965833903719
N4,N53A,40.8065,-80.8377,360.0,2014-10-24,2019-03-17,4.392532543666185
N4,M52A,41.5405,-81.357,382.0,2014-10-28,2019-03-17,4.381533956954901
N4,N51A,40.9183,-82.3748,343.0,2014-11-03,2019-03-17,4.364643223819302
N4,O54A,40.1821,-80.3778,357.0,2014-11-24,2019-03-17,4.30742737090273
LD,BNY,42.089323,-75.970892,292.0,2015-10-13,2020-01-30,4.2967145790554415
N4,O52A,40.1158,-81.8361,331.0,2014-12-01,2019-03-17,4.288299522143636
N4,Q52A,38.9622,-82.2669,228.0,2014-12-01,2019-03-17,4.288299522143636
PE,UPAO,40.48253,-80.02056,274.0,2009-07-30,2013-11-05,4.27028455902857
N4,Q54A,38.9836,-80.8338,254.0,2014-12-08,2019-03-17,4.269008289603772
N4,Y57A,34.017,-80.3915,56.0,2015-01-21,2019-03-17,4.148755672167718
N4,Y58A,33.9057,-79.6665,19.0,2015-01-25,2019-03-17,4.137390169087636
N4,Y60A,34.0046,-78.2163,7.0,2015-01-30,2019-03-17,4.124122651912693
N4,W57A,35.1529,-79.9928,85.0,2015-01-30,2019-03-17,4.1235602517301695
N4,V61A,35.7912,-76.5776,4.0,2015-02-02,2019-03-17,4.115967342256699
N4,T59A,36.9716,-77.5541,63.0,2015-02-04,2019-03-17,4.1103332319314525
N4,V58A,35.794,-79.115,127.0,2015-02-05,2019-03-17,4.107280052982483
N4,S61A,37.6804,-75.6727,58.0,2015-02-09,2019-03-17,4.096164220346288
N4,R61A,38.3303,-75.339,76.0,2015-02-09,2019-03-17,4.096164220346288
N4,P61A,39.6734,-74.7919,22.0,2015-02-12,2019-03-17,4.088147419322128
N4,T57A,36.9983,-79.2538,230.0,2015-03-18,2019-03-17,3.995346255735544
N4,V51A,35.803299,-84.351097,243.0,2014-03-10,2018-03-07,3.9914670000253505
N4,U56A,36.3472,-80.3829,363.0,2015-04-13,2019-03-17,3.924190115851649
N4,U54A,36.5209,-81.8204,837.0,2015-04-13,2019-03-17,3.9241406190584835
N4,S57A,37.7605,-78.9536,264.0,2015-04-28,2019-03-17,3.883377316399219
N4,R58B,37.9636,-77.8787,116.0,2015-04-28,2019-03-17,3.883377316399219
N4,S54A,37.7997,-81.3114,636.0,2015-04-28,2019-03-17,3.883183290237534
OH,P52A,39.633701,-82.1325,293.0,2018-09-28,2022-08-11,3.869952087611225
N4,P57A,39.4835,-78.0126,191.0,2015-05-05,2019-03-17,3.8636607980328037
N4,N58A,40.8396,-76.7158,200.0,2015-05-14,2019-03-17,3.8394377899460035
N4,M57A,41.3372,-77.128,319.0,2015-05-18,2019-03-17,3.82853705604989
Z9,W15A,32.138,-83.898499,102.8,2010-07-18,2014-05-14,3.822811620655563
N4,P51A,39.4818,-83.060097,211.0,2014-12-01,2018-09-27,3.8226652533779504
N4,L59A,42.1902,-75.0426,677.0,2015-06-11,2019-03-17,3.7644231500494336
N4,L56A,42.1365,-77.5591,688.0,2015-06-15,2019-03-17,3.7519226430400283
N4,R55A,38.2825,-80.1195,833.0,2015-05-01,2018-11-30,3.5823215010013434
N4,Q56A,39.0401,-79.1871,430.0,2015-05-05,2018-11-17,3.5354817856871246
Z9,W23,32.523399,-83.886002,158.8,2010-07-19,2013-10-19,3.2532188759601492
Z9,W14,32.0938,-83.898697,965.7,2010-07-18,2013-10-18,3.252956498593049
N4,U59A,36.3526,-77.792503,99.0,2015-02-02,2018-03-13,3.1072971645499026
TA,O48B,40.257099,-85.155296,300.0,2016-01-12,2019-02-12,3.0876120173904225
LM,L48A,41.9438,-84.4329,369.0,2019-01-29,2022-02-09,3.033328801936776
Z9,W27,32.9174,-83.923401,163.6,2011-05-10,2014-05-13,3.00927446954141
Z9,D15,34.449799,-83.2799,254.1,2011-05-16,2014-05-19,3.0092212335538826
Z9,D14,34.376499,-83.181099,210.9,2011-05-16,2014-05-19,3.008960757472051
Z9,W33,34.654701,-83.886002,533.4,2011-05-16,2014-05-19,3.0082344664993537
Z9,W32,34.465698,-83.865799,396.1,2011-05-17,2014-05-20,3.008169822800213
Z9,W16,32.179401,-83.884102,114.7,2011-05-11,2014-05-14,3.0080424366872007
Z9,W19,32.313202,-83.906403,118.6,2011-05-11,2014-05-13,3.006827452024235
Z9,W21,32.403999,-83.858704,130.8,2011-05-11,2014-05-13,3.0062495246786827
Z9,W35,34.9762,-83.943802,539.0,2011-05-17,2014-05-19,3.006042284584379
Z9,W29,33.456799,-83.728798,193.4,2011-05-19,2014-05-20,3.0038520039546732
Z9,D02,33.604099,-82.282799,123.5,2011-05-18,2014-05-17,2.9980625903110503
6E,WB08,38.8009,-88.807098,175.0,2013-10-22,2016-10-20,2.997946580221563
Z9,W13,32.055,-83.893303,107.3,2011-05-16,2014-05-14,2.9951079930032702
N4,T60A,37.139702,-76.734901,11.0,2015-04-23,2018-03-15,2.8937803571881258
SP,AGBLF,33.395,-81.758011,118.0,2001-09-11,2004-06-30,2.8007072781200093
SP,RUFIN,33.012249,-80.806534,23.8,2001-09-11,2004-06-30,2.8007072781200093
SP,GREEN,34.23,-82.174301,182.9,2001-09-11,2004-06-30,2.8007072781200093
